symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
DATAPATTNS,1H,bullish,standard,4692.0,4645.0,1.01,3.51,4645.0,3899.0,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
BHARTIARTL,1H,bullish,standard,1952.8,1950.4,0.12,2.09,1950.4,1902.7,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
KEC,1H,bearish,standard,480.0,483.3,-0.68,3.11,496.95,483.3,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
MPHASIS,1H,bearish,standard,2293.4,2323.1,-1.28,1.85,2457.2,2323.1,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
TITAGARH,1H,bearish,standard,819.35,825.0,-0.68,1.8,873.0,825.0,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
CAPLIPOINT,1H,bearish,standard,2491.0,2508.3,-0.69,1.71,2681.2,2508.3,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
TMPV,1H,bearish,standard,329.0,329.1,-0.03,1.4,337.65,329.1,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
TEGA,1H,bearish,standard,1579.9,1585.0,-0.32,1.35,1665.6,1585.0,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
M&MFIN,1D,bullish,standard,375.25,363.0,3.37,7.69,363.0,283.72,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
CRISIL,1D,bullish,standard,4481.8,4340.0,3.27,4.95,4340.0,3855.0,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
BAJAJ-AUTO,1D,bullish,standard,10908.5,10560.0,3.3,2.64,10560.0,9501.0,2026-07-22,20,True,True,2026-07-22T13:04:09+05:30
UBL,1D,bullish,standard,1434.6,1384.0,3.66,2.45,1384.0,1314.9,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
TVSMOTOR,1D,bullish,standard,3929.3,3810.0,3.13,2.42,3810.0,3375.7,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
CHENNPETRO,1D,bullish,standard,1301.8,1279.7,1.73,1.74,1279.7,1080.0,2026-07-22,20,True,True,2026-07-22T13:04:09+05:30
BANDHANBNK,1D,bearish,standard,173.54,194.82,-10.92,11.79,220.76,194.82,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
INDIAMART,1D,bearish,standard,1820.7,1860.0,-2.11,4.89,1996.6,1860.0,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
GALLANTT,1D,bearish,standard,566.4,589.15,-3.86,2.72,737.9,589.15,2026-07-22,20,False,True,2026-07-22T13:04:09+05:30
KARURVYSYA,1W,bullish,standard,340.95,325.9,4.62,8.14,325.9,255.55,2026-07-24,20,False,True,2026-07-22T13:04:09+05:30
M&MFIN,1W,bullish,standard,375.25,361.76,3.73,4.19,361.76,266.65,2026-07-24,20,False,True,2026-07-22T13:04:09+05:30
CRISIL,1W,bullish,standard,4481.8,4454.66,0.61,1.83,4454.66,3678.37,2026-07-24,20,False,True,2026-07-22T13:04:09+05:30
INDIAMART,1W,bearish,standard,1820.7,1857.36,-1.97,2.08,2154.77,1857.36,2026-07-24,20,False,True,2026-07-22T13:04:09+05:30
GABRIEL,1M,bullish,standard,1400.1,1385.5,1.05,1.85,1385.5,385.38,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
TORNTPHARM,1M,bullish,standard,4975.8,4742.9,4.91,1.7,4742.9,2855.68,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
WELCORP,1M,bullish,standard,1606.9,1525.0,5.37,1.68,1525.0,644.52,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
HSCL,1M,bullish,standard,778.85,718.0,8.47,1.5,718.0,364.39,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
FLUOROCHEM,1M,bullish,standard,4578.2,4531.17,1.04,1.46,4531.17,2916.6,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
SHYAMMETL,1M,bullish,standard,1032.7,1014.0,1.84,1.38,1014.0,623.83,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
AEGISLOG,1M,bullish,standard,1339.0,1189.61,12.56,1.26,1189.61,573.05,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
PATANJALI,1M,bearish,standard,335.9,406.35,-17.34,2.77,665.11,406.35,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
KPITTECH,1M,bearish,standard,553.6,624.9,-11.41,2.14,1549.42,624.9,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
ICICIGI,1M,bearish,standard,1591.2,1596.42,-0.33,1.79,2057.09,1596.42,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
TATAELXSI,1M,bearish,standard,3411.4,3813.8,-10.55,1.34,7260.2,3813.8,2026-07-31,20,False,True,2026-07-22T13:04:09+05:30
