symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
BALRAMCHIN,1H,bullish,standard,636.2,631.0,0.82,5.04,631.0,592.1,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
KARURVYSYA,1H,bullish,standard,337.6,334.9,0.81,3.17,334.9,296.15,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
CRISIL,1H,bullish,standard,4302.6,4289.0,0.32,2.45,4289.0,4175.7,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
AAVAS,1H,bullish,standard,1526.4,1515.0,0.75,2.07,1515.0,1476.9,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
ABBOTINDIA,1H,bullish,standard,28760.0,28500.0,0.91,1.95,28500.0,27450.0,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
MANAPPURAM,1H,bullish,standard,352.95,350.6,0.67,1.67,350.6,318.8,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
MUTHOOTFIN,1H,bullish,standard,3069.4,3063.6,0.19,1.58,3063.6,2939.0,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
SONACOMS,1H,bullish,standard,731.0,728.05,0.41,1.49,728.05,675.35,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
BANDHANBNK,1H,bearish,standard,208.7,209.7,-0.48,1.8,216.05,209.7,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
TATAELXSI,1H,bearish,standard,3472.0,3475.5,-0.1,1.47,3575.4,3475.5,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
KARURVYSYA,1D,bullish,standard,337.6,312.0,8.21,24.24,312.0,288.1,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
ACE,1D,bullish,standard,1060.2,1047.0,1.26,13.71,1047.0,962.0,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
UBL,1D,bullish,standard,1404.3,1384.0,1.47,4.34,1384.0,1314.9,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
IOB,1D,bullish,standard,35.84,35.5,0.96,3.72,35.5,33.28,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
FLUOROCHEM,1D,bullish,standard,4628.0,4169.9,10.99,3.4,4169.9,3791.9,2026-07-21,20,True,True,2026-07-21T12:59:45+05:30
GABRIEL,1D,bullish,standard,1469.0,1453.0,1.1,2.88,1453.0,1196.4,2026-07-21,20,True,True,2026-07-21T12:59:45+05:30
BALRAMCHIN,1D,bullish,standard,636.2,613.0,3.78,2.72,613.0,523.0,2026-07-21,20,True,True,2026-07-21T12:59:45+05:30
MANAPPURAM,1D,bullish,standard,353.0,347.9,1.47,2.52,347.9,309.35,2026-07-21,20,True,True,2026-07-21T12:59:45+05:30
INDUSINDBK,1D,bullish,standard,1056.95,1038.0,1.83,1.28,1038.0,898.69,2026-07-21,20,True,True,2026-07-21T12:59:45+05:30
GALLANTT,1D,bearish,standard,597.8,648.6,-7.83,3.26,749.0,648.6,2026-07-21,20,False,True,2026-07-21T12:59:45+05:30
KARURVYSYA,1W,bullish,standard,337.6,325.9,3.59,4.57,325.9,255.55,2026-07-24,20,False,True,2026-07-21T12:59:45+05:30
ACE,1W,bullish,standard,1060.2,1047.0,1.26,2.75,1047.0,745.1,2026-07-24,20,False,True,2026-07-21T12:59:45+05:30
GABRIEL,1W,bullish,standard,1468.0,1373.6,6.87,2.64,1373.6,795.7,2026-07-24,20,False,True,2026-07-21T12:59:45+05:30
WELCORP,1M,bullish,standard,1632.6,1525.0,7.06,1.69,1525.0,644.52,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
BIOCON,1M,bullish,standard,440.45,439.87,0.13,1.6,439.87,290.26,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
TORNTPHARM,1M,bullish,standard,5028.2,4742.9,6.02,1.59,4742.9,2855.68,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
FLUOROCHEM,1M,bullish,standard,4622.6,4531.17,2.02,1.5,4531.17,2916.6,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
GABRIEL,1M,bullish,standard,1468.0,1385.5,5.95,1.46,1385.5,385.38,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
HSCL,1M,bullish,standard,793.3,718.0,10.49,1.31,718.0,364.39,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
PATANJALI,1M,bearish,standard,338.1,406.35,-16.8,2.68,665.11,406.35,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
KPITTECH,1M,bearish,standard,562.0,624.9,-10.07,2.1,1549.43,624.9,2026-07-31,20,False,True,2026-07-21T12:59:45+05:30
