symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
RVNL,236.12,V,-0.97,below,233.84,236.12,236.48,236.83,236.12,0.299,31.8,0.034,1,2026-07-03,2026-07-06,True,False,5.0,2026-07-06T23:05:29+05:30
SPLPETRO,723.57,V,0.65,above,728.3,723.57,722.13,723.57,720.7,0.397,39.7,0.039,1,2026-07-03,2026-07-06,True,False,5.0,2026-07-06T23:05:29+05:30
CEMPRO,1445.22,V,5.27,above,1521.4,1445.22,1441.43,1445.22,1437.65,0.525,46.6,0.04,1,2026-07-03,2026-07-06,True,False,5.0,2026-07-06T23:05:29+05:30
UNITDSPR,1390.23,V,2.67,above,1427.3,1390.23,1387.17,1390.23,1384.1,0.442,61.1,0.035,1,2026-07-03,2026-07-06,True,False,5.0,2026-07-06T23:05:29+05:30
360ONE,1106.07,V,2.46,above,1133.3,1106.07,1102.63,1106.07,1099.2,0.623,63.3,0.034,1,2026-07-03,2026-07-06,True,False,5.0,2026-07-06T23:05:29+05:30
TMPV,344.27,TOUCHED,0.81,above,347.05,344.27,344.22,344.27,344.16,0.034,7.4,0.02,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
BHARTIHEXA,1455.25,TOUCHED,0.8,above,1466.9,1455.25,1454.87,1455.25,1454.48,0.053,7.7,0.038,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
IGIL,359.67,TOUCHED,-1.05,below,355.9,359.67,359.83,360.0,359.67,0.093,9.9,0.028,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
NEULANDLAB,18963.67,TOUCHED,-0.04,inside,18956.0,18963.67,18963.67,18973.5,18953.83,0.104,10.1,0.03,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
BSE,3819.23,TOUCHED,-0.43,below,3802.7,3819.23,3821.87,3824.5,3819.23,0.138,12.1,0.031,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
LATENTVIEW,280.70,TOUCHED,1.85,above,285.9,280.7,280.55,280.7,280.4,0.107,12.3,0.033,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
AFFLE,1465.40,TOUCHED,-1.22,below,1447.5,1465.4,1466.2,1467.0,1465.4,0.109,12.9,0.027,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
HONAUT,39537.50,TOUCHED,-2.59,below,38515.0,39537.5,39560.0,39582.5,39537.5,0.114,19.7,0.024,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
PCBL,322.07,TOUCHED,0.09,above,322.35,322.07,321.77,322.07,321.46,0.192,20.5,0.057,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
ABSLAMC,1179.87,TOUCHED,-1.62,below,1160.7,1179.87,1181.33,1182.8,1179.87,0.248,26.0,0.033,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
DEVYANI,114.34,TOUCHED,-0.18,below,114.13,114.34,114.48,114.63,114.34,0.256,26.8,0.04,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
LTM,3746.60,TOUCHED,-0.51,below,3727.5,3746.6,3750.33,3754.07,3746.6,0.199,27.7,0.033,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
MSUMI,41.35,TOUCHED,-0.76,below,41.04,41.35,41.41,41.46,41.35,0.258,28.8,0.031,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
KARURVYSYA,292.90,TOUCHED,3.84,above,304.15,292.9,292.53,292.9,292.17,0.251,29.3,0.036,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
NYKAA,311.25,TOUCHED,0.72,above,313.5,311.25,310.93,311.25,310.62,0.204,29.9,0.024,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
CIPLA,1461.50,TOUCHED,0.74,above,1472.3,1461.5,1460.4,1461.5,1459.3,0.151,30.4,0.022,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
GRAPHITE,628.81,TOUCHED,-1.32,below,620.5,628.81,629.82,630.82,628.81,0.32,32.1,0.024,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
POLICYBZR,1582.85,TOUCHED,-0.14,below,1580.7,1582.85,1585.63,1588.42,1582.85,0.351,33.4,0.04,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
JSL,701.50,TOUCHED,0.11,above,702.25,701.5,700.38,701.5,699.27,0.319,35.1,0.044,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
WAAREEENER,2870.70,TOUCHED,0.19,inside,2876.2,2870.7,2870.7,2876.45,2864.95,0.401,40.3,0.044,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
SYRMA,1386.05,TOUCHED,0.36,above,1391.1,1386.05,1382.7,1386.05,1379.35,0.485,42.2,0.047,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
ITI,298.68,TOUCHED,-0.53,below,297.1,298.68,299.42,300.15,298.68,0.49,50.1,0.035,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
MAZDOCK,2566.50,TOUCHED,0.29,above,2573.9,2566.5,2558.87,2566.5,2551.23,0.597,53.7,0.047,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
BANDHANBNK,202.24,TOUCHED,2.55,above,207.39,202.24,201.69,202.24,201.15,0.542,61.4,0.027,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
SCHAEFFLER,4140.37,TOUCHED,-0.1,inside,4136.4,4140.37,4140.37,4151.23,4129.5,0.525,63.3,0.039,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
GLAND,2469.83,TOUCHED,-0.27,below,2463.2,2469.83,2477.37,2484.9,2469.83,0.608,63.6,0.04,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
RADICO,3932.30,TOUCHED,4.44,above,4106.7,3932.3,3918.97,3932.3,3905.63,0.68,70.1,0.021,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
ATUL,6500.75,TOUCHED,-0.63,below,6460.0,6500.75,6519.33,6537.92,6500.75,0.57,72.3,0.017,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
TECHM,1413.98,TOUCHED,-0.53,below,1406.5,1413.98,1417.87,1421.75,1413.98,0.548,73.2,0.038,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
CRISIL,4033.00,TOUCHED,-1.61,below,3968.1,4033.0,4048.8,4064.6,4033.0,0.78,78.4,0.05,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
INFY,1049.92,TOUCHED,-0.73,below,1042.2,1049.92,1052.63,1055.35,1049.92,0.516,79.7,0.027,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
FINCABLES,1104.70,TOUCHED,-1.6,below,1087.0,1104.7,1109.3,1113.9,1104.7,0.829,81.9,0.019,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
EMAMILTD,421.70,TOUCHED,-1.17,below,416.75,421.7,423.35,425.0,421.7,0.779,82.7,0.021,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
HDFCLIFE,569.42,TOUCHED,-0.92,below,564.2,569.42,571.13,572.85,569.42,0.601,83.8,0.02,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
APARINDS,14439.67,TOUCHED,-0.81,inside,14323.0,14439.67,14439.67,14572.5,14306.83,1.84,93.7,0.054,0,2026-07-03,2026-07-06,False,False,5.0,2026-07-06T23:05:29+05:30
