symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
BBTC,1H,bullish,standard,1541.9,1524.1,1.17,5.47,1524.1,1485.4,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
CARBORUNIV,1H,bullish,standard,1093.3,1088.3,0.46,1.54,1088.3,1044.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
APOLLOHOSP,1H,bearish,standard,8855.0,8862.5,-0.08,1.29,9031.0,8862.5,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
APLAPOLLO,1D,bullish,standard,1919.7,1908.0,0.61,7.7,1908.0,1783.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
INDGN,1D,bullish,standard,543.15,536.5,1.24,6.89,536.5,479.84,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
REDINGTON,1D,bullish,standard,351.2,338.5,3.75,6.11,338.5,255.7,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
ABCAPITAL,1D,bullish,standard,423.4,411.4,2.92,3.35,411.4,384.0,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
LTM,1D,bullish,standard,4706.5,4518.7,4.16,2.79,4518.7,3715.4,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
JPPOWER,1D,bullish,standard,18.96,18.91,0.26,2.72,18.91,16.65,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
DIVISLAB,1D,bullish,standard,8456.5,8090.0,4.53,2.58,8090.0,6665.51,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
MINDACORP,1D,bullish,standard,732.0,711.5,2.88,2.26,711.5,650.0,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
ASHOKLEY,1D,bullish,standard,174.0,167.35,3.97,2.25,167.35,147.59,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
TMCV,1D,bullish,standard,451.7,440.65,2.51,2.01,440.65,398.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
APARINDS,1D,bullish,standard,14841.0,14815.0,0.18,1.77,14815.0,13282.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
RAINBOW,1D,bullish,standard,1570.2,1535.0,2.29,1.67,1535.0,1402.2,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
IGIL,1D,bullish,standard,364.9,364.65,0.07,1.67,364.65,325.65,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
ESCORTS,1D,bullish,standard,3136.1,3099.0,1.2,1.65,3099.0,2880.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
WOCKPHARMA,1D,bullish,standard,2011.8,1966.0,2.33,1.47,1966.0,1792.4,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
JUBLFOOD,1D,bullish,standard,464.35,456.1,1.81,1.42,456.1,408.55,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
BATAINDIA,1D,bullish,standard,708.5,708.28,0.03,1.41,708.28,656.35,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
PAYTM,1D,bullish,standard,1424.3,1407.0,1.23,1.4,1407.0,1196.3,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
JIOFIN,1D,bullish,standard,263.2,257.06,2.39,1.34,257.06,229.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
MEDANTA,1D,bullish,standard,1462.4,1438.0,1.7,1.34,1438.0,1295.9,2026-08-03,20,True,True,2026-08-03T13:36:01+05:30
SONATSOFTW,1D,bullish,standard,344.75,327.45,5.28,1.33,327.45,266.46,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
BAJAJFINSV,1D,bullish,standard,2084.7,2036.6,2.36,1.28,2036.6,1822.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
NH,1D,bearish,standard,1924.0,1952.0,-1.43,4.26,2092.9,1952.0,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
LICHSGFIN,1D,bearish,standard,517.7,521.5,-0.73,1.28,563.0,521.5,2026-08-03,20,False,True,2026-08-03T13:36:01+05:30
