symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
MAPMYINDIA,1H,bullish,standard,1010.8,1002.0,0.88,4.89,1002.0,980.0,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
ZENTEC,1H,bullish,standard,1964.0,1934.4,1.53,4.45,1934.4,1822.3,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
JYOTICNC,1H,bullish,standard,906.4,894.25,1.36,4.45,894.25,822.5,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
MRPL,1H,bullish,standard,187.15,186.57,0.31,3.34,186.57,170.1,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
AEGISVOPAK,1H,bullish,standard,278.4,277.9,0.18,3.13,277.9,263.25,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
BOSCHLTD,1H,bullish,standard,47730.0,47715.0,0.03,2.17,47715.0,46350.0,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
NIACL,1H,bullish,standard,185.25,184.6,0.35,1.93,184.6,176.6,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
GABRIEL,1H,bullish,standard,1476.0,1470.5,0.37,1.76,1470.5,1423.2,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
LINDEINDIA,1H,bullish,standard,6831.5,6825.0,0.1,1.33,6825.0,6575.0,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
REDINGTON,1H,bearish,standard,329.25,330.95,-0.51,1.28,347.85,330.95,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
WELSPUNLIV,1D,bullish,standard,181.8,178.0,2.13,4.65,178.0,152.98,2026-08-18,20,True,True,2026-08-18T10:44:31+05:30
JYOTICNC,1D,bullish,standard,906.4,874.75,3.62,2.0,874.75,738.9,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
MRPL,1D,bullish,standard,187.15,183.0,2.27,1.7,183.0,159.0,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
ZENTEC,1D,bullish,standard,1962.0,1878.5,4.45,1.39,1878.5,1600.0,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
IFCI,1D,bullish,standard,80.99,79.73,1.58,1.32,79.73,68.15,2026-08-18,20,False,True,2026-08-18T10:44:31+05:30
WELSPUNLIV,1W,bullish,standard,181.8,178.0,2.13,1.75,178.0,107.04,2026-08-21,20,False,True,2026-08-18T10:44:31+05:30
WELSPUNLIV,1M,bullish,standard,181.8,178.45,1.88,2.09,178.45,103.5,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
NEULANDLAB,1M,bullish,standard,23434.0,20051.94,16.87,1.8,20051.94,10163.49,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
GLAND,1M,bullish,standard,2897.6,2566.61,12.9,1.71,2566.61,1256.51,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
FLUOROCHEM,1M,bullish,standard,4763.7,4653.2,2.37,1.56,4653.2,2916.6,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
MINDACORP,1M,bullish,standard,745.0,712.85,4.51,1.38,712.85,443.29,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
GODREJCP,1M,bearish,standard,931.1,953.18,-2.32,1.42,1284.14,953.18,2026-08-31,20,False,True,2026-08-18T10:44:31+05:30
