symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
COHANCE,1H,bullish,standard,455.3,453.6,0.37,11.22,453.6,438.3,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
THERMAX,1H,bullish,standard,4212.8,4114.8,2.38,3.36,4114.8,3934.0,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
NEULANDLAB,1H,bullish,standard,23745.0,23696.0,0.21,1.27,23696.0,22448.0,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
BELRISE,1H,bearish,standard,237.78,238.64,-0.36,2.62,264.95,238.64,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
RPOWER,1H,bearish,standard,22.52,22.62,-0.44,2.47,23.57,22.62,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
CHAMBLFERT,1H,bearish,standard,437.85,440.1,-0.51,2.45,446.6,440.1,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
J&KBANK,1H,bearish,standard,149.8,150.23,-0.29,2.03,158.64,150.23,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
SJVN,1H,bearish,standard,66.59,66.6,-0.02,1.76,67.4,66.6,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
BSE,1H,bearish,standard,3292.9,3293.8,-0.03,1.65,3574.3,3293.8,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
GABRIEL,1H,bearish,standard,1431.3,1441.3,-0.69,1.58,1489.5,1441.3,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
GESHIP,1H,bearish,standard,1266.0,1267.0,-0.08,1.49,1310.0,1267.0,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
SCI,1H,bearish,standard,288.05,288.3,-0.09,1.42,303.5,288.3,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
BANKINDIA,1H,bearish,standard,141.96,142.41,-0.32,1.29,146.25,142.41,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
CONCORDBIO,1D,bullish,standard,1501.7,1471.9,2.02,1.83,1471.9,1238.0,2026-08-17,20,False,True,2026-08-17T10:54:31+05:30
NEULANDLAB,1M,bullish,standard,23745.0,20051.94,18.42,1.8,20051.94,10163.49,2026-08-31,20,False,True,2026-08-17T10:54:31+05:30
GLAND,1M,bullish,standard,2965.0,2566.61,15.52,1.71,2566.61,1256.51,2026-08-31,20,False,True,2026-08-17T10:54:31+05:30
GODREJCP,1M,bearish,standard,928.8,953.18,-2.56,1.42,1284.14,953.18,2026-08-31,20,False,True,2026-08-17T10:54:31+05:30
